rarity,id,name,hasDamage,damageMode,scaleNumbers,clause,originalDescription,missingScale
精巧,cang_yue,沧月,Y,直接伤害,0.1000,击倒当前目标2秒，并击退其周围6尺内最多5个其他的敌对目标，造成(0.1000*攻击力)伤害,击倒当前目标2秒，并击退其周围6尺内最多5个其他的敌对目标，造成(0.1000*攻击力)伤害。,N
精巧,ti_yun_zong,梯云纵,N,无伤害,,,当你处于战斗状态时，下一次跳跃能跳得更高，抗摔伤力提高，持续30秒； 当处于非战斗状态时，可以连续跳跃，持续12秒。施展后，重置“蹑云逐月”的调息时间。,N
精巧,shi_xin_gu,蚀心蛊,Y,直接伤害,,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒。若对队友施展，则持续时间减半。,Y
精巧,hong_meng_tian_jin,鸿蒙天禁,Y,持续伤害,,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次。,Y
精巧,chu_he_han_jie,楚河汉界,N,无伤害,,,在自身前方生成一道20尺刀气阻碍，敌方玩家目标无法穿越，持续4秒。,N
精巧,dun_li,盾立,Y,反弹伤害,,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效。,Y
精巧,ru_yi_fa,如意法,Y,直接伤害,,清除自身当前所受的移动限制效果，使自身不受招式控制，持续3秒，并使自身接下来10秒内的下一个伤害招式附带该移动限制效果,清除自身当前所受的移动限制效果，使自身不受招式控制，持续3秒，并使自身接下来10秒内的下一个伤害招式附带该移动限制效果。,Y
精巧,you_feng_piao_zong,游风飘踪,Y,直接伤害,,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）。非受控状态下施展将返回7秒调息时间。,Y
精巧,jian_fei_jing_tian,剑飞惊天,Y,直接伤害,0.7187,对目标造成(0.7187*攻击力)点伤害，使目标下马并且移动速度降低60%，持续5秒,对目标造成(0.7187*攻击力)点伤害，使目标下马并且移动速度降低60%，持续5秒。若你攻击的目标正在运功，则使该目标5秒内无法运功。,N
精巧,qian_long_wu_yong,潜龙勿用,Y,直接伤害,1.6187,向前拍出掌法，可于冲刺中释放，释放对前方8尺矩形内最多5个目标造成(1.6187*攻击力)点伤害,向前拍出掌法，可于冲刺中释放，释放对前方8尺矩形内最多5个目标造成(1.6187*攻击力)点伤害。,N
精巧,qin_yin_gong_ming,琴音共鸣,N,无伤害,,,移除敌对目标身上2个增益效果，并添加给自身。,N
精巧,shou_que_shi,守缺式,Y,额外伤害,3.0000,对目标造成(3.0000*攻击力)点伤害，3秒内连续施展时对目标额外造成30%伤害且小范围击退目标,对目标造成(3.0000*攻击力)点伤害，3秒内连续施展时对目标额外造成30%伤害且小范围击退目标。,N
精巧,xiang_ji_bi_luo,翔极碧落,Y,直接伤害,0.5,凝气成雕，造成(0.5攻击力)点伤害，若其正在运功，则将运功打断并使其沉默4秒,凝气成雕，造成(0.5攻击力)点伤害，若其正在运功，则将运功打断并使其沉默4秒。,N
精巧,dou_zhuan_xing_yi,斗转星移,N,无伤害,,,立刻与敌对目标侠士交换位置(免疫被拉的目标除外)。,N
精巧,feng_liu_yun_san,风流云散,N,无伤害,,,冲刺至目标点，并获得2层“云散”效果：施展“一阳指”套路招式时会闪现移动至一个随机攻击位置。,N
精巧,ku_can_gu,枯残蛊,N,无伤害,,,使自身移动速度降低90%，招式施展距离提高12尺，持续12秒。,N
精巧,mi_xin_gu,迷心蛊,N,无伤害,,,使自身无法施展轻功招式，运功不会被打退、打断，不受缴械和无法运功效果的影响，持续12秒。,N
精巧,jiu_xiao_feng_lei,九霄风雷,Y,直接伤害,,使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒,使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒。,Y
精巧,ling_ran_tian_feng,凌然天风,N,无伤害,,,凌空而起，免疫控制(击退和被拉除外)，并使得自身身轻如燕，施展招式最大距离提高5尺，施展任意招式可以额外获得一次跳跃机会，且跳跃(自身按W/A/S/D空格进行跳跃时)变为朝对应方向的一小段冲刺效果，持续8秒。“凌然天风”期间起跳及跳跃时自身免疫击退。,N
精巧,zi_qi_dong_lai,紫气东来,N,无伤害,,,使自身外功和内功基础攻击力提高25%，会心几率提高25%，会心效果提高25%，持续10秒。,N
精巧,po_cang_qiong,破苍穹,N,无伤害,,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标内功会心提高10%，会心效果提高15%，气场持续10秒。,N
精巧,ren_chi_cheng,任驰骋,N,无伤害,,,军中秘传马技，使你可在战斗中上马并解除自身锁足和减速效果，并在5秒内不受控制招式影响。,N
精巧,sui_xing_chen,碎星辰,N,无伤害,,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标外功会心提高10%，会心效果提高15%，气场持续10秒。,N
