color,rarity,id,name,hasDamage,damageMode,scaleNumbers,clause,originalDescription,missingScale
green,精巧,ling_tai_xu,凌太虚,Y,直接伤害,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒。,N
green,精巧,lingxiao_lansheng,凌霄揽胜,N,无伤害,,,江湖轻功，向左侧迅速移动，可以避开敌人的攻击。过程中不受招式控制。,N
green,精巧,mi_xin_gu,迷心蛊,N,无伤害,,,使自身无法施展轻功招式，运功不会被打退、打断，不受缴械和无法运功效果的影响，持续12秒。,N
green,精巧,niao_xiang_bi_kong,鸟翔碧空,N,无伤害,,,突破内功限制，能够在空中连续跳跃多次，持续15秒。,N
green,精巧,nieyun_zhuyue,蹑云逐月,N,无伤害,,,江湖轻功，解除被击僵直，向前冲刺一段距离。冲刺过程中不受招式控制。,N
green,精巧,po_cang_qiong,破苍穹,N,无伤害,,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标内功会心提高10%，会心效果提高15%，气场持续10秒。,N
green,精巧,po_feng,破风,Y,额外伤害,0.15|0.125,击破目标护甲，使其防御等级降低5%，每2秒受到(0.15*攻击力)点伤害，持续12秒，若目标免疫击倒则额外添加“流血”效果，使其每2秒受到（0.125攻击力)点伤害，持续12秒,击破目标护甲，使其防御等级降低5%，每2秒受到(0.15*攻击力)点伤害，持续12秒，若目标免疫击倒则额外添加“流血”效果，使其每2秒受到（0.125攻击力)点伤害，持续12秒。,N
green,精巧,yuqi,骑御,N,无伤害,,,在非战斗状态施展后能成功驾驭和下马，施展驾驭需3秒。,N
green,精巧,qian_long_wu_yong,潜龙勿用,Y,直接伤害,1.6187,向前拍出掌法，可于冲刺中释放，释放对前方8尺矩形内最多5个目标造成(1.6187*攻击力)点伤害,向前拍出掌法，可于冲刺中释放，释放对前方8尺矩形内最多5个目标造成(1.6187*攻击力)点伤害。,N
green,精巧,qin_yin_gong_ming,琴音共鸣,N,无伤害,,,移除敌对目标身上2个增益效果，并添加给自身。,N
green,精巧,qionglong_huasheng,穹隆化生,N,无伤害,,,自身将向前冲刺，持续2秒，可以转向，结束后在脚下生成“生太极”气场，并回复自身10%的最大气血值。,N
green,精巧,ren_chi_cheng,任驰骋,N,无伤害,,,军中秘传马技，使你可在战斗中上马并解除自身锁足和减速效果，并在5秒内不受控制招式影响。,N
green,精巧,ru_yi_fa,如意法,N,无伤害,,,清除自身当前所受的移动限制效果，使自身不受招式控制，持续3秒，并使自身接下来10秒内的下一个伤害招式附带该移动限制效果。,N
green,精巧,sanhuan_taoyue,三环套月,Y,额外伤害,4.1000,对目标造成(4.1000*攻击力)点伤害，并添加“三环套月”效果，当“三环套月”叠加至3层时会额外附带(4.1000*攻击力)点伤害,对目标造成(4.1000*攻击力)点伤害，并添加“三环套月”效果，当“三环套月”叠加至3层时会额外附带(4.1000*攻击力)点伤害。,N
green,精巧,shang_yang_zhi,商阳指,Y,持续伤害,0.074,使目标每3秒受到(0.074*攻击力)点伤害，持续18秒,使目标每3秒受到(0.074*攻击力)点伤害，持续18秒。,N
green,精巧,shao_ming_zhi,少明指,Y,直接伤害,0.7239,对目标造成(0.7239*攻击力)点伤害，并解除其身上的混元、阳性、阴性、毒性有益气劲各两个,对目标造成(0.7239*攻击力)点伤害，并解除其身上的混元、阳性、阴性、毒性有益气劲各两个。,N
green,精巧,shi_xin_gu,蚀心蛊,Y,直接伤害,,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒。若对队友施展，则持续时间减半。,N
green,精巧,shou_que_shi,守缺式,Y,额外伤害,3.0000,对目标造成(3.0000*攻击力)点伤害，3秒内连续施展时对目标额外造成30%伤害且小范围击退目标,对目标造成(3.0000*攻击力)点伤害，3秒内连续施展时对目标额外造成30%伤害且小范围击退目标。,N
green,精巧,sui_xing_chen,碎星辰,N,无伤害,,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标外功会心提高10%，会心效果提高15%，气场持续10秒。,N
green,精巧,tai_ji_wu_ji,太极无极,Y,直接伤害,4.4937,对目标造成(4.4937*攻击力)点伤害，若目标处于“锁足”“定身”“眩晕”状态则使其20秒内受到的伤害提高20%，该效果可叠加5层,对目标造成(4.4937*攻击力)点伤害，若目标处于“锁足”“定身”“眩晕”状态则使其20秒内受到的伤害提高20%，该效果可叠加5层。,N
green,精巧,tai_yin_zhi,太阴指,N,无伤害,,,向后疾退，解除自身锁足效果，疾退过程中自身被命中几率降低100%。,N
green,精巧,ti_yun_zong,梯云纵,N,无伤害,,,当你处于战斗状态时，下一次跳跃能跳得更高，抗摔伤力提高，持续30秒； 当处于非战斗状态时，可以连续跳跃，持续12秒。施展后，重置“蹑云逐月”的调息时间。,N
green,精巧,tian_di_di_ang,天地低昂,Y,直接伤害,,使自身化解受到的伤害55%，持续10秒,使自身化解受到的伤害55%，持续10秒。并不产生威胁值，运功不被打退，持续1秒。该招式的施放无视控制效果。,N
green,精巧,tian_jue_di_mie,天绝地灭,Y,引爆/爆炸伤害,11.05,在目标位置投放“天绝地灭”9秒后将自动引爆造成将(11.05 攻击力）点伤害，并将周围15尺范围内最多五个敌方目标拉到中心点,在目标位置投放“天绝地灭”9秒后将自动引爆造成将(11.05 攻击力）点伤害，并将周围15尺范围内最多五个敌方目标拉到中心点。,N
green,精巧,ting_lei,听雷,Y,直接伤害,1.7312,对目标造成(1.7312*攻击力)点伤害，每施展一次则使该招式伤害提高10%，最多提高30%，该效果脱离战斗后消失,对目标造成(1.7312*攻击力)点伤害，每施展一次则使该招式伤害提高10%，最多提高30%，该效果脱离战斗后消失。,N
green,精巧,xiang_ji_bi_luo,翔极碧落,Y,直接伤害,0.5,凝气成雕，造成(0.5攻击力)点伤害，若其正在运功，则将运功打断并使其沉默4秒,凝气成雕，造成(0.5攻击力)点伤害，若其正在运功，则将运功打断并使其沉默4秒。,N
green,精巧,xinglou_yueying,星楼月影,N,无伤害,,,清除自身所有移动限制，并使自身不受招式控制(击退和被拉除外)，持续8秒。,N
green,精巧,yan_yu_xing,烟雨行,N,无伤害,,,解除自身锁足和减速不利效果，快速冲向前方，施展过程中不受控制招式影响。,N
green,精巧,yaotai_zhenhe,瑶台枕鹤,N,无伤害,,,江湖轻功，向右侧迅速移动，可以避开敌人攻击。过程中不受招式控制。,N
green,精巧,yin_yue_zhan,银月斩,Y,额外伤害,3.2968|0.074|1.6484,对目标造成(3.2968*攻击力)点伤害，并对其每2秒造成(0.074*攻击力)点伤害，持续12秒，当目标拥有“烈日斩”效果时将对其额外造成(1.6484攻击力)点伤害,对目标造成(3.2968*攻击力)点伤害，并对其每2秒造成(0.074*攻击力)点伤害，持续12秒，当目标拥有“烈日斩”效果时将对其额外造成(1.6484攻击力)点伤害。,N
green,精巧,yingfeng_huilang,迎风回浪,N,无伤害,,,向后疾退，避开敌人的攻击。过程中不受招式控制。,N
green,精巧,you_feng_piao_zong,游风飘踪,Y,直接伤害,,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）。非受控状态下施展将返回7秒调息时间。,Y
green,精巧,yu_shi_ju_fen,玉石俱焚,Y,额外伤害,1.0,每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效。每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害。,N
green,精巧,yu_shi_ju_fen,玉石俱焚,Y,直接伤害,0.5989,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效。每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害。,N
green,精巧,yue_chao_zhan_bo,跃潮斩波,Y,直接伤害,7.54,立即冲向目标释放一道掌法并造成(7.54攻击力)点伤害,立即冲向目标释放一道掌法并造成(7.54攻击力)点伤害。,N
green,精巧,yun_qi_song,云栖松,N,无伤害,,,恢复5%气血值，解除自身阳性、混元性、阴性、毒性不利效果各两个并使自身被命中概率降低60%，持续10秒。,N
green,精巧,zhen_chi_tu_nan,振翅图南,Y,直接伤害,0.49,命令海雕在指定位置扇出一道飓风，持续对周围造成12次(0.49 攻击力)点伤害，持续6秒,命令海雕在指定位置扇出一道飓风，持续对周围造成12次(0.49 攻击力)点伤害，持续6秒。飓风会自动跟随附近敌对目标(优先自身目标)。,N
green,精巧,zhong_lin_yu_xiu,钟林毓秀,Y,持续伤害,0.099,使目标攻击降低5%，每3秒受到(0.099*攻击力)点伤害，持续18秒,使目标攻击降低5%，每3秒受到(0.099*攻击力)点伤害，持续18秒。,N
green,精巧,zi_qi_dong_lai,紫气东来,N,无伤害,,,使自身外功和内功基础攻击力提高25%，会心几率提高25%，会心效果提高25%，持续10秒。,N
green,精巧,zuowang_wuwo,坐忘无我,N,无伤害,,,以混元气劲护持自身，化解自身气血最大值5%伤害。,N
blue,卓越,anchen_misan,暗尘弥散,N,无伤害,,,,N
blue,卓越,baizu,百足,Y,引爆/爆炸伤害,3.8541|1.05,对指定区域施放风蜈之毒，使6尺半径区域内目标立即受到(3.8541*攻击力)点伤害，并使这些目标每3秒受到(1.05*攻击力)点伤害，持续18秒，风蜈之毒结束会再次爆炸，对6尺半径区域内的5个目标造成(3.8541*攻击力)点伤害,对指定区域施放风蜈之毒，使6尺半径区域内目标立即受到(3.8541*攻击力)点伤害，并使这些目标每3秒受到(1.05*攻击力)点伤害，持续18秒，风蜈之毒结束会再次爆炸，对6尺半径区域内的5个目标造成(3.8541*攻击力)点伤害,N
blue,卓越,chan_xiao,蟾啸,Y,持续伤害,0.62,使目标及其8尺周围内的最多8个目标每2秒受到(0.62攻击力)点伤害，持续16秒，同时目标2秒内无法施展招式,使目标及其8尺周围内的最多8个目标每2秒受到(0.62攻击力)点伤害，持续16秒，同时目标2秒内无法施展招式。,N
blue,卓越,cheng_huang_zhi_wei,乘黄之威,N,无伤害,,,向前跳跃10尺，落地时回头对起跳方向长啸，使矩形范围内命中的目标获得2秒恐惧效果。,N
blue,卓越,da_shizi_hou,大狮子吼,N,无伤害,,,使周围6尺内5个目标眩晕5秒，眩晕期间招式调息速度降低50%。,N
blue,卓越,duangu_jue,锻骨诀,Y,持续伤害,,使你突破一切限制，解除自身控制效果，卸除自身所有内功不利效果、点穴效果、持续伤害不利效果,使你突破一切限制，解除自身控制效果，卸除自身所有内功不利效果、点穴效果、持续伤害不利效果。施展后不受招式控制和无法施展内功招式效果的影响，持续8秒。,Y
blue,卓越,duoming_gu,夺命蛊,Y,直接伤害,,使自身受到的伤害提高30%，招式伤害提高30%，持续12秒,使自身受到的伤害提高30%，招式伤害提高30%，持续12秒。,N
blue,卓越,fenglai_wushan,风来吴山,Y,直接伤害,3.61,发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成共计8次（3.61攻击力)点伤害,发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成共计8次（3.61攻击力)点伤害。 在此过程中你无法跳跃，不受控制招式(被拉除外)和沉默效果影响。,N
blue,卓越,fengxiu_diang,风袖低昂,Y,直接伤害,,恢复友方目标369598点气血值，并使其10秒内受到的伤害降低40%,恢复友方目标369598点气血值，并使其10秒内受到的伤害降低40%,N
blue,卓越,fuguang_lueying,浮光掠影,N,无伤害,,,施展后进入隐身状态，前5秒可以移动但移动速度降低50%，后15秒内移动会结束隐身效果。施展任何招式将提前结束隐身效果。,N
blue,卓越,han_ru_lei,撼如雷,N,无伤害,,,使自身会心几率提高10%，会心效果提高20%，持续20秒，并使15尺内的10个敌对目标8秒内无法进入隐身状态，已经进入隐身状态的目标则立刻解除隐身状态。,N
blue,卓越,he_gui_gu_shan,鹤归孤山,Y,额外伤害,3.1625,跳跃至正前方15尺处并以重剑猛击地面，对半径6尺范围内的最多10个目标造成(3.1625*攻击力)点伤害并使其晕眩3秒，对周围4尺内的目标造成额外50%伤害,跳跃至正前方15尺处并以重剑猛击地面，对半径6尺范围内的最多10个目标造成(3.1625*攻击力)点伤害并使其晕眩3秒，对周围4尺内的目标造成额外50%伤害。,N
blue,卓越,huayu_suxin,花语酥心,N,无伤害,,,使自身每秒恢复气血最大值的6%，持续5秒。,N
blue,卓越,hua_xue_biao,化血镖,Y,持续伤害,0.179,使目标每3秒受到(0.179*攻击力)点伤害，可叠加2层，持续24秒,使目标每3秒受到(0.179*攻击力)点伤害，可叠加2层，持续24秒。,N
blue,卓越,ji_dian_chi_yu,疾电叱羽,Y,直接伤害,,召唤海雕飞向自身位置，盘旋至升空，保护自身6尺范围内的小队成员，使范围内的小队成员不会受到伤害，最多承受286120点伤害，持续8秒,召唤海雕飞向自身位置，盘旋至升空，保护自身6尺范围内的小队成员，使范围内的小队成员不会受到伤害，最多承受286120点伤害，持续8秒。,Y
blue,卓越,jianpo_xukong,剑破虚空,Y,持续伤害,7.98|0.125,对目标及其周围最多2个目标造成(7.98*攻击力)点伤害，使当前目标减速且无法施展轻功招式，持续2秒，并获得一层“急曲”效果，每3秒受到(0.125*攻击力)点伤害，持续18秒，最多叠加3层,对目标及其周围最多2个目标造成(7.98*攻击力)点伤害，使当前目标减速且无法施展轻功招式，持续2秒，并获得一层“急曲”效果，每3秒受到(0.125*攻击力)点伤害，持续18秒，最多叠加3层。,N
blue,卓越,jian_zhu_tian_di,剑主天地,Y,持续伤害,0.125,急曲:每3秒造成(0.125*攻击力)点伤害，持续18秒，可以叠加3层,对目标造成(3.8541*攻击力)点伤害，并附带1层急曲效果，若目标已存在3层急曲则直接引爆。 急曲:每3秒造成(0.125*攻击力)点伤害，持续18秒，可以叠加3层。,N
blue,卓越,jian_zhu_tian_di,剑主天地,Y,引爆/爆炸伤害,3.8541,对目标造成(3.8541*攻击力)点伤害，并附带1层急曲效果，若目标已存在3层急曲则直接引爆,对目标造成(3.8541*攻击力)点伤害，并附带1层急曲效果，若目标已存在3层急曲则直接引爆。 急曲:每3秒造成(0.125*攻击力)点伤害，持续18秒，可以叠加3层。,N
blue,卓越,jiang_chun_zhu_xiu,绛唇珠袖,Y,直接伤害,0.5,以剑气击伤敌人心脉，使其施展轻功则2秒内无法施展招式，并受到（0.5*攻击力)点伤害，持续9秒,以剑气击伤敌人心脉，使其施展轻功则2秒内无法施展招式，并受到（0.5*攻击力)点伤害，持续9秒。,N
blue,卓越,jieyang,截阳,Y,直接伤害,6.26,对目标造成(6.26攻击力)点伤害，对目标添加3层无法卸除持续30秒的“绝脉”效果：招式调息速度降低1%,对目标造成(6.26攻击力)点伤害，对目标添加3层无法卸除持续30秒的“绝脉”效果：招式调息速度降低1%。,N
blue,卓越,jing_hong_you_long,惊鸿游龙,Y,直接伤害,,自身躲闪率提高65%，受到的内功伤害降低45%，持续10秒,自身躲闪率提高65%，受到的内功伤害降低45%，持续10秒。,N
blue,卓越,jing_shi_po_mo_ji,净世破魔击,Y,直接伤害,1.1197,冲刺并对12尺内的目标造成3次(1.1197*攻击力)点伤害，且每次卸除目标混元、阳性、阴性、毒性增益气劲各一个,冲刺并对12尺内的目标造成3次(1.1197*攻击力)点伤害，且每次卸除目标混元、阳性、阴性、毒性增益气劲各一个。,N
blue,卓越,kang_long_you_hui,亢龙有悔,Y,持续伤害,3.4750|0.1,对目标造成2次(3.4750*攻击力)点伤害，并使其每2秒受到(0.1攻击力)点伤害，持续24秒，可叠加2层,对目标造成2次(3.4750*攻击力)点伤害，并使其每2秒受到(0.1攻击力)点伤害，持续24秒，可叠加2层。,N
blue,卓越,lian_huan_nu,连环弩,Y,直接伤害,0.8125|1.0500|1.3125,第一枚箭造成(0.8125*攻击力)点外功伤害，第二枚箭造成(1.0500*攻击力)点外功伤害，第三枚箭造成(1.3125*攻击力)点外功伤害,每1秒对目标发射一枚弩箭，一共发射3支。第一枚箭造成(0.8125*攻击力)点外功伤害，第二枚箭造成(1.0500*攻击力)点外功伤害，第三枚箭造成(1.3125*攻击力)点外功伤害。。若目标离自己小于15尺，则每枚箭都击退目标4尺。该招式免疫打断。,N
blue,卓越,liang_yi_hua_xing,两仪化形,Y,直接伤害,4.5260,对目标造成(4.5260*攻击力)点伤害,对目标造成(4.5260*攻击力)点伤害。,N
blue,卓越,lin_shi_fei_zhua,临时飞爪,N,无伤害,,,将自身牵引至标记位置，非战斗中使用时将返还部分调息时间。,N
blue,卓越,long_yin,龙吟,Y,直接伤害,0.6500,龙吟一击，对目标造成(0.6500*攻击力)点伤害,龙吟一击，对目标造成(0.6500*攻击力)点伤害。若招式会心则立刻重置调息时间。,N
blue,卓越,long_zhan_yu_ye,龙战于野,Y,直接伤害,3.4187,将前方10尺扇形范围的最多5个目标吸引到自身前方造成(3.4187*攻击力)点伤害,将前方10尺扇形范围的最多5个目标吸引到自身前方造成(3.4187*攻击力)点伤害。,N
blue,卓越,lv_ye_man_sheng,绿野蔓生,Y,直接伤害,0.5,解除自身控制，使用藤蔓种子，环绕自身形成藤蔓装甲，使得距离自身6尺内的敌对目标攻击自身时将被击退并对其造成(0.5攻击力)点伤害，敌方无法通过对自身冲刺接近6尺(对区域的冲刺则不受影响),解除自身控制，使用藤蔓种子，环绕自身形成藤蔓装甲，使得距离自身6尺内的敌对目标攻击自身时将被击退并对其造成(0.5攻击力)点伤害，敌方无法通过对自身冲刺接近6尺(对区域的冲刺则不受影响)。期间免疫控制(击退和被拉除外)，持续5秒。,N
blue,卓越,mie,灭,Y,直接伤害,2.6937|11.2437,当自身血量高于10%时对目标造成(2.6937*攻击力)点伤害，若自身气血低于10%，则对目标造成(11.2437*攻击力)点伤害，并使自身3秒内不会重伤,当自身血量高于10%时对目标造成(2.6937*攻击力)点伤害，若自身气血低于10%，则对目标造成(11.2437*攻击力)点伤害，并使自身3秒内不会重伤。,N
blue,卓越,mohe_wuliang,摩诃无量,Y,额外伤害,4.4947,对目标造成(4.4947*攻击力)点伤害，并击倒3秒，击倒自然结束时若目标血量低于30%则额外眩晕2秒,对目标造成(4.4947*攻击力)点伤害，并击倒3秒，击倒自然结束时若目标血量低于30%则额外眩晕2秒。,N
blue,卓越,na_yun_shi,拿云式,Y,真实伤害,6.7447,目标血量低于30%方可施展，对其造成(6.7447*攻击力)点伤害外加最大生命值10%的真实伤害,目标血量低于30%方可施展，对其造成(6.7447*攻击力)点伤害外加最大生命值10%的真实伤害。,N
blue,卓越,qixing_gongrui,七星拱瑞,N,无伤害,,,以七星罡气禁锢目标，使其定身，气血恢复速度提高，持续10秒，如果目标为非侠士单位，则持续1秒。任何伤害都会眩晕4秒，同一时间内只能使一个目标被定身，只能对人形目标施展。,N
